title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,doi_key
Inkjet-printed perovskite solar cells with a certified efficiency of 12.3% using GVL:DMSO solvent system,2022,10.1039/d2ee00001a,W4220000001,142,True,https://pubs.rsc.org/pdf/d2ee00001a,https://doi.org/10.1039/d2ee00001a,Energy & Environmental Science,10.1039/d2ee00001a
High-efficiency perovskite solar cells via anti-solvent crystallisation using DMSO additive,2021,10.1002/adma.202100001,W4210000002,98,True,https://onlinelibrary.wiley.com/pdf/202100001,https://doi.org/10.1002/adma.202100001,Advanced Materials,10.1002/adma.202100001
Inkjet printing of perovskite inks: role of solvent engineering in crystal growth,2020,10.1021/acsnano.0c00001,W4200000003,87,True,https://pubs.acs.org/pdf/acsnano.0c00001,https://doi.org/10.1021/acsnano.0c00001,ACS Nano,10.1021/acsnano.0c00001
Triple-cation perovskite solar cells: a 1.4 M ink in DMF:DMSO 4:1 achieves 22% PCE,2021,10.1038/s41560-021-00001-x,W4210000004,215,True,https://nature.com/pdf/s41560-021-00001-x,https://doi.org/10.1038/s41560-021-00001-x,Nature Energy,10.1038/s41560-021-00001-x
GBL-based perovskite inks for stable all-inorganic solar cells,2022,10.1016/j.joule.2022.00001,W4220000005,61,True,https://cell.com/pdf/joule/2022.00001,https://doi.org/10.1016/j.joule.2022.00001,Joule,10.1016/j.joule.2022.00001
Slot-die coated FAPbI3 perovskite from NMP:DMSO solvent blends,2021,10.1039/d1ta00001b,W4210000006,44,True,https://pubs.rsc.org/pdf/d1ta00001b,https://doi.org/10.1039/d1ta00001b,Journal of Materials Chemistry A,10.1039/d1ta00001b
Additive-free MAPbI3 inkjet inks with controlled drop formation,2020,10.1021/acsenergylett.0c00001,W4200000007,33,True,https://pubs.acs.org/pdf/acsenergylett.0c00001,https://doi.org/10.1021/acsenergylett.0c00001,ACS Energy Letters,10.1021/acsenergylett.0c00001
Cs-FA mixed cation perovskites with GVL-DMSO for inkjet printing,2023,10.1002/aenm.202300001,W4230000008,28,True,https://onlinelibrary.wiley.com/pdf/202300001,https://doi.org/10.1002/aenm.202300001,Advanced Energy Materials,10.1002/aenm.202300001
Role of MACl in crystallisation of FAPbI3 from DMF:DMSO inks,2022,10.1021/acs.jpclett.2c00001,W4220000009,55,True,https://pubs.acs.org/pdf/jpclett.2c00001,https://doi.org/10.1021/acs.jpclett.2c00001,Journal of Physical Chemistry Letters,10.1021/acs.jpclett.2c00001
2-Methoxyethanol as alternative solvent for low-toxicity perovskite inks,2021,10.1039/d1ee00001c,W4210000010,71,True,https://pubs.rsc.org/pdf/d1ee00001c,https://doi.org/10.1039/d1ee00001c,Energy & Environmental Science,10.1039/d1ee00001c
Inkjet printing of MAPbBr3 for green LEDs using ACN:MA solvent,2020,10.1002/adma.202000001,W4200000011,19,True,https://onlinelibrary.wiley.com/pdf/202000001,https://doi.org/10.1002/adma.202000001,Advanced Materials,10.1002/adma.202000001
Scalable slot-die perovskite deposition using environmentally friendly GVL solvent,2023,10.1021/acsenergyletts.3c00001,W4230000012,12,True,https://pubs.acs.org/pdf/acsenergyletts.3c00001,https://doi.org/10.1021/acsenergyletts.3c00001,ACS Energy Letters,10.1021/acsenergyletts.3c00001
High-throughput inkjet deposition of triple-cation perovskites for tandem applications,2022,10.1016/j.nanoen.2022.00001,W4220000013,37,True,https://sciencedirect.com/pdf/nanoen/2022,https://doi.org/10.1016/j.nanoen.2022.00001,Nano Energy,10.1016/j.nanoen.2022.00001
Surfactant engineering of inkjet perovskite inks for uniform droplet formation,2021,10.1021/acsnano.1c00001,W4210000014,22,True,https://pubs.acs.org/pdf/acsnano.1c00001,https://doi.org/10.1021/acsnano.1c00001,ACS Nano,10.1021/acsnano.1c00001
Methylammonium-free wide-bandgap perovskite ink for inkjet printing,2023,10.1002/adma.202300999,W4230000015,8,True,https://onlinelibrary.wiley.com/pdf/202300999,https://doi.org/10.1002/adma.202300999,Advanced Materials,10.1002/adma.202300999
